.NET,11239
Agile,1295
Android,7813
CTO,2641
Devops,11266
DWH,7083
Front End,9031
iOS,5072
Java,51
Linux,48
Marketing,2379
Open Source,11038
Oracle,49
Product Manager,3316
Python,3929
Ruby,6864
Salesforce,7836
SQL DBA,1181
Test,5161
UX/UI,11274
